user_id,signup_date,city,zone
1,2025-09-14,Mumbai,West
2,2025-05-27,Patna,East
3,2025-02-22,Jaipur,North
4,2025-05-12,Ahmedabad,West
5,2025-09-17,Delhi,North
6,2025-11-24,Delhi,North
7,2025-10-29,Mumbai,West
8,2025-06-25,Chandigarh,North
9,2025-07-27,Pune,West
10,2025-03-31,Kolkata,East
11,2025-09-07,Hyderabad,South
12,2025-08-04,Patna,East
13,2025-05-31,Patna,East
14,2025-09-24,Mumbai,West
15,2025-08-21,Delhi,North
16,2025-06-05,Delhi,North
17,2025-06-28,Chennai,South
18,2025-10-21,Kolkata,East
19,2025-06-13,Mumbai,West
20,2025-02-25,Chennai,South
21,2025-05-18,Ahmedabad,West
22,2025-01-23,Chennai,South
23,2025-02-01,Hyderabad,South
24,2025-11-07,Delhi,North
25,2025-04-15,Hyderabad,South
26,2025-07-07,Kolkata,East
27,2025-06-08,Bangalore,South
28,2025-08-12,Pune,West
29,2025-10-11,Ahmedabad,West
30,2025-10-19,Hyderabad,South
31,2025-02-17,Jaipur,North
32,2025-04-22,Bangalore,South
33,2025-08-31,Delhi,North
34,2025-03-10,Indore,Central
35,2025-06-12,Bhopal,Central
36,2025-10-07,Patna,East
37,2025-11-28,Mumbai,West
38,2025-03-24,Hyderabad,South
39,2025-01-02,Pune,West
40,2025-08-23,Bangalore,South
41,2025-10-24,Bangalore,South
42,2025-03-19,Chennai,South
43,2025-11-20,Bangalore,South
44,2025-05-04,Patna,East
45,2025-10-15,Hyderabad,South
46,2025-03-11,Kolkata,East
47,2025-06-06,Mumbai,West
48,2025-11-01,Lucknow,North
49,2025-10-14,Pune,West
50,2025-03-07,Chennai,South
51,2025-03-09,Bhopal,Central
52,2025-03-14,Kolkata,East
53,2025-04-09,Bhopal,Central
54,2025-04-28,Chandigarh,North
55,2025-07-07,Ahmedabad,West
56,2025-10-01,Patna,East
57,2025-03-28,Mumbai,West
58,2025-05-18,Delhi,North
59,2025-10-24,Bangalore,South
60,2025-09-25,Mumbai,West
61,2025-02-07,Delhi,North
62,2025-10-28,Mumbai,West
63,2025-03-21,Nagpur,Central
64,2025-06-20,Bangalore,South
65,2025-05-04,Hyderabad,South
66,2025-03-17,Jaipur,North
67,2025-02-22,Delhi,North
68,2025-07-16,Bhopal,Central
69,2025-07-08,Bangalore,South
70,2025-07-17,Indore,Central
71,2025-04-25,Jaipur,North
72,2025-10-04,Mumbai,West
73,2025-05-08,Chennai,South
74,2025-08-05,Indore,Central
75,2025-04-07,Kolkata,East
76,2025-06-26,Ahmedabad,West
77,2025-10-11,Ahmedabad,West
78,2025-07-04,Hyderabad,South
79,2025-07-11,Hyderabad,South
80,2025-04-02,Bangalore,South
81,2025-09-20,Chandigarh,North
82,2025-11-18,Ahmedabad,West
83,2025-04-06,Bangalore,South
84,2025-05-18,Mumbai,West
85,2025-08-09,Delhi,North
86,2025-09-08,Mumbai,West
87,2025-09-18,Jaipur,North
88,2025-03-06,Lucknow,North
89,2025-05-25,Bhopal,Central
90,2025-05-06,Mumbai,West
91,2025-04-05,Delhi,North
92,2025-07-20,Kolkata,East
93,2025-11-16,Jaipur,North
94,2025-05-03,Ahmedabad,West
95,2025-10-01,Lucknow,North
96,2025-08-02,Hyderabad,South
97,2025-05-22,Lucknow,North
98,2025-11-16,Delhi,North
99,2025-02-15,Bangalore,South
100,2025-11-03,Delhi,North
101,2025-04-10,Delhi,North
102,2025-03-30,Kolkata,East
103,2025-05-09,Chennai,South
104,2025-04-07,Jaipur,North
105,2025-11-14,Chandigarh,North
106,2025-02-17,Hyderabad,South
107,2025-06-25,Chennai,South
108,2025-10-28,Lucknow,North
109,2025-01-11,Bangalore,South
110,2025-05-09,Delhi,North
111,2025-05-29,Delhi,North
112,2025-07-09,Chennai,South
113,2025-03-02,Nagpur,Central
114,2025-05-25,Patna,East
115,2025-06-24,Pune,West
116,2025-09-01,Patna,East
117,2025-11-28,Indore,Central
118,2025-10-23,Delhi,North
119,2025-07-20,Nagpur,Central
120,2025-09-01,Kolkata,East
121,2025-05-26,Patna,East
122,2025-10-17,Nagpur,Central
123,2025-09-17,Hyderabad,South
124,2025-10-08,Chennai,South
125,2025-05-09,Hyderabad,South
126,2025-08-09,Chennai,South
127,2025-05-03,Bhopal,Central
128,2025-10-25,Chandigarh,North
129,2025-11-24,Mumbai,West
130,2025-10-04,Pune,West
131,2025-05-25,Chennai,South
132,2025-06-14,Bangalore,South
133,2025-03-13,Bangalore,South
134,2025-08-01,Mumbai,West
135,2025-05-24,Bhopal,Central
136,2025-08-18,Hyderabad,South
137,2025-11-06,Ahmedabad,West
138,2025-11-06,Lucknow,North
139,2025-02-04,Mumbai,West
140,2025-09-01,Bhopal,Central
141,2025-05-10,Chandigarh,North
142,2025-11-07,Delhi,North
143,2025-04-13,Chennai,South
144,2025-06-09,Mumbai,West
145,2025-03-12,Bangalore,South
146,2025-06-19,Chennai,South
147,2025-05-02,Kolkata,East
148,2025-07-02,Ahmedabad,West
149,2025-10-18,Delhi,North
150,2025-11-04,Bangalore,South
151,2025-10-01,Indore,Central
152,2025-06-15,Chennai,South
153,2025-07-04,Chennai,South
154,2025-03-30,Mumbai,West
155,2025-05-23,Chandigarh,North
156,2025-05-01,Bangalore,South
157,2025-10-07,Lucknow,North
158,2025-06-11,Pune,West
159,2025-02-14,Mumbai,West
160,2025-04-14,Jaipur,North
161,2025-12-10,Bangalore,South
162,2025-10-20,Ahmedabad,West
163,2025-01-28,Pune,West
164,2025-11-23,Ahmedabad,West
165,2025-04-14,Chennai,South
166,2025-08-11,Patna,East
167,2025-08-19,Mumbai,West
168,2025-04-30,Hyderabad,South
169,2025-09-04,Mumbai,West
170,2025-06-07,Kolkata,East
171,2025-05-05,Ahmedabad,West
172,2025-07-01,Delhi,North
173,2025-06-04,Lucknow,North
174,2025-11-10,Chennai,South
175,2025-10-19,Ahmedabad,West
176,2025-03-19,Bangalore,South
177,2025-09-17,Kolkata,East
178,2025-08-01,Chennai,South
179,2025-06-07,Nagpur,Central
180,2025-04-19,Delhi,North
181,2025-07-06,Chennai,South
182,2025-05-24,Delhi,North
183,2025-07-30,Bhopal,Central
184,2025-03-03,Nagpur,Central
185,2025-07-25,Bangalore,South
186,2025-07-20,Lucknow,North
187,2025-10-11,Chandigarh,North
188,2025-05-02,Lucknow,North
189,2025-11-07,Pune,West
190,2025-03-23,Delhi,North
191,2025-10-16,Delhi,North
192,2025-08-01,Patna,East
193,2025-07-01,Bhopal,Central
194,2025-10-03,Pune,West
195,2025-06-09,Chennai,South
196,2025-10-22,Chennai,South
197,2025-05-19,Ahmedabad,West
198,2025-07-04,Chandigarh,North
199,2025-09-08,Indore,Central
200,2025-04-25,Pune,West
201,2025-06-22,Pune,West
202,2025-04-18,Mumbai,West
203,2025-05-17,Delhi,North
204,2025-02-27,Patna,East
205,2025-10-10,Pune,West
206,2025-06-06,Bangalore,South
207,2025-06-09,Mumbai,West
208,2025-04-29,Kolkata,East
209,2025-10-16,Delhi,North
210,2025-11-20,Bangalore,South
211,2025-05-20,Lucknow,North
212,2025-03-16,Ahmedabad,West
213,2025-06-28,Kolkata,East
214,2025-09-08,Delhi,North
215,2025-06-15,Kolkata,East
216,2025-10-07,Chennai,South
217,2025-05-19,Hyderabad,South
218,2025-04-13,Ahmedabad,West
219,2025-06-10,Lucknow,North
220,2025-04-03,Nagpur,Central
221,2025-05-12,Ahmedabad,West
222,2025-08-14,Pune,West
223,2025-04-29,Mumbai,West
224,2025-04-12,Hyderabad,South
225,2025-11-13,Bangalore,South
226,2025-10-27,Hyderabad,South
227,2025-10-01,Nagpur,Central
228,2025-04-02,Hyderabad,South
229,2025-08-01,Patna,East
230,2025-03-30,Pune,West
231,2025-11-22,Pune,West
232,2025-11-14,Lucknow,North
233,2025-08-15,Jaipur,North
234,2025-10-08,Mumbai,West
235,2025-05-06,Delhi,North
236,2025-10-16,Ahmedabad,West
237,2025-10-24,Delhi,North
238,2025-05-17,Chennai,South
239,2025-11-07,Lucknow,North
240,2025-06-18,Delhi,North
241,2025-11-01,Nagpur,Central
242,2025-02-13,Indore,Central
243,2025-01-13,Bhopal,Central
244,2025-04-26,Hyderabad,South
245,2025-03-04,Delhi,North
246,2025-11-27,Patna,East
